"sg_uf","pop2010","pop2022","eleitorado2025","cadeiras_atual","dist_camara"
"AC",733559,830018,613185,8,8
"AL",3120494,3127683,2444504,9,9
"AP",669526,733759,572473,8,8
"AM",3483985,3941613,2773831,8,10
"BA",14016906,14141626,11288187,39,39
"CE",8452381,8794957,6936976,22,23
"DF",2570160,2817381,2193050,8,8
"ES",3514952,3833712,3009699,10,10
"GO",6003788,7056495,5144357,17,18
"MA",6574789,6776699,5184708,18,18
"MT",3035122,3658649,2604521,8,10
"MS",2449024,2757013,2037840,8,8
"MG",19597330,20539989,16473280,53,54
"PR",10444526,11444380,8667376,30,31
"PB",3766528,3974687,3222362,12,12
"PA",7581051,8120131,6239317,17,21
"PE",8796448,9058931,7168089,25,25
"PI",3118360,3271199,2691745,10,10
"RN",3168027,3302729,2647832,8,10
"RS",10693929,10882965,8671284,31,31
"RJ",15989929,16055174,13038105,46,46
"RO",1562409,1581196,1271508,8,8
"RR",450479,636707,390975,8,8
"SC",6248436,7610361,5669705,16,20
"SE",2068017,2210004,1734952,8,8
"SP",41262199,44411238,34528336,70,70
"TO",1383445,1511460,1171831,8,8
